lender,score_b,at_risk,d_chargeoff,d_competing,aj_chargeoff,aj_lo95,aj_hi95,km_chargeoff,n_loans,entry_age_median
carmax,760,2034,0,37,0.0050166104899787185,0.003437509605062809,0.0066387846469018515,0.006149736810303619,13649,4.0
carmax,780,2091,0,37,0.0020200155434387996,0.0010575771331839824,0.003352624310962181,0.0025161691480284354,13360,4.0
carmax,800,2086,0,31,0.002043525756130835,0.0009305651461737382,0.0032244092689027067,0.0026044156103045557,13040,4.0
carmax,820,1887,0,44,0.0023387439139965958,0.0011023115785305264,0.0035588771310266017,0.003009112192493446,11825,4.0
carmax,840,1469,0,41,0.0011954282978540506,0.0004187424893005323,0.0023378313960222986,0.0013802882874027755,9573,3.0
carmax,860,736,0,15,0.00028350991380920125,0.0,0.000849292751504779,0.0003011141222523106,5096,3.0
carmax,880,108,0,1,0.005634582805703078,0.0,0.013667299542336602,0.007115413780900859,792,3.0
carmax,900,5,0,0,0.0,0.0,0.0,0.0,22,4.5
exeter,360,1,0,0,0.0,0.0,0.0,0.0,4,3.0
exeter,380,0,0,0,0.0,0.0,0.0,0.0,7,3.0
exeter,400,0,0,0,0.05426991137106885,0.0,0.14059519933729098,0.06666666666666676,71,3.0
exeter,420,1,0,0,0.20491416887536373,0.1095136664388548,0.34629840866663625,0.24304621309681318,210,3.0
exeter,440,5,0,1,0.19804986261303212,0.1369975370088952,0.25844728589735466,0.214507513163823,560,3.0
exeter,460,19,0,0,0.17507433989456636,0.13961082123010068,0.21817218373468017,0.19991755122475063,1290,3.0
exeter,480,25,1,0,0.2079419730917011,0.16206327455664235,0.28184130600764146,0.23370050095928874,2700,3.0
exeter,500,68,2,0,0.21128170910647062,0.1759150682590027,0.2440901805720994,0.24544913277063618,4747,3.0
exeter,520,158,3,0,0.2187452889840793,0.1978886700267854,0.23661652707593744,0.2490085113765549,8250,3.0
exeter,540,267,5,1,0.21005304842889255,0.1927166439761913,0.22597822627268135,0.24196963797166438,13033,3.0
exeter,560,279,8,2,0.20853092543642307,0.1934443659626758,0.22310333698349755,0.24561318887027128,17323,3.0
exeter,580,274,11,1,0.20552760163990813,0.1912042140568121,0.22223050472159045,0.2421381591687799,18302,3.0
exeter,600,215,7,2,0.19829932600075043,0.18326108673023742,0.21360450298972553,0.23339988160002478,16863,3.0
exeter,620,155,2,1,0.16947309794631282,0.15453753055934402,0.18547038651646106,0.20557207910657105,17442,3.0
exeter,640,91,2,0,0.1608056873789261,0.1428297116680258,0.18266038730725975,0.19778956073868859,7440,3.0
exeter,660,55,2,1,0.16944093982843916,0.13675601368925888,0.20389905677084483,0.2051863612163719,4535,3.0
exeter,680,21,0,0,0.14155143418529348,0.1232670418237696,0.16281190363363077,0.1789119559086645,3060,3.0
exeter,700,17,0,0,0.16145343019308062,0.1356959904937165,0.1998880496520357,0.19621948323797012,1617,3.0
exeter,720,7,0,0,0.13586541361362495,0.11375151153602424,0.1678672053273158,0.16835668576963214,867,3.0
exeter,740,4,0,0,0.11229007204924345,0.06932970535815677,0.15361489750787097,0.13925928608411153,383,3.0
exeter,760,5,0,0,0.15201319237735422,0.058423698688998306,0.3436003774857011,0.22329972186599645,203,3.0
exeter,780,0,0,0,0.08621720331644622,0.04482916277415691,0.13289647753379877,0.10919146329431106,180,3.0
exeter,800,0,0,0,0.03779344499956416,0.0,0.08824132350175258,0.04900269541778979,82,3.0
exeter,820,0,0,0,0.021616031027795732,0.0,0.06726728966853847,0.040000000000000036,47,2.0
exeter,840,0,0,0,0.0,0.0,0.0,0.0,7,2.0
exeter,none,9,0,0,0.17121356265166332,0.12100103087195782,0.2290226998049799,0.21787413537923095,1530,60.0
honda,400,1,0,0,0.0,0.0,0.0,0.0,2,38.5
honda,420,1,0,0,0.0,,,0.0,1,7.0
honda,440,7,0,0,0.0,0.0,0.0,0.0,11,18.0
honda,460,11,0,0,0.08611111111111111,0.0,0.21877144607843138,0.1215686274509804,38,19.0
honda,480,29,0,1,0.06765821436181549,0.0,0.14600589225589228,0.07692307692307698,62,17.5
honda,500,62,0,1,0.06808530174433584,0.014619006997451911,0.13336723438373982,0.08240236897736075,148,17.5
honda,520,108,1,1,0.09525740628175661,0.04433620054388719,0.15173677589941034,0.10980131464987342,269,18.0
honda,540,170,0,4,0.041516343441924564,0.016687693223368043,0.0711370762083581,0.04689133615521002,399,17.0
honda,560,241,4,4,0.06501061146181661,0.038282284492996775,0.09561496583908254,0.07356145632350564,574,16.0
honda,580,346,2,5,0.048782159630607905,0.029663557822928368,0.07072451462271875,0.05610364050983374,772,15.0
honda,600,352,1,9,0.0448974738277287,0.027353469775800006,0.05929693912478465,0.05027704499960517,680,9.0
honda,620,732,0,15,0.0338918843339861,0.02206455465273347,0.04574647854278918,0.040407960843425905,1400,9.0
honda,640,1149,1,21,0.01659123068405828,0.010196413627340622,0.024326980029355558,0.01904252525315231,2220,10.0
honda,660,2166,4,35,0.01185044398061954,0.008052412113168225,0.015972681499015387,0.014239278230009034,4163,12.0
honda,680,3348,0,51,0.006319275302528717,0.004243135977540336,0.009414035254686858,0.0071567654000374015,6230,11.0
honda,700,4159,3,69,0.008743926404828219,0.006077628168432356,0.011230928748515194,0.010688905138545923,8023,13.0
honda,720,4522,4,92,0.008864236414125396,0.006650713943824198,0.01134551451435342,0.010622610567734614,8911,11.0
honda,740,4852,3,90,0.0023237291409136523,0.0013587818387426483,0.0034413699606364134,0.002909116758121555,9463,10.0
honda,760,5498,0,134,0.0014029838732619695,0.0005309700389061001,0.0024178896811146494,0.0017105890935964485,10812,10.0
honda,780,5856,0,142,0.001092864750508319,0.0004418715024855403,0.0018625797709739505,0.0014548285802700178,11444,10.0
