spec,event,factor,level,odds_ratio,lo95,hi95,p
score,prepay,score_b,360,7.387084594611502e-10,1.4193469248589198e-10,3.8446568525429845e-09,9.346292121256035e-138
score,prepay,score_b,380,0.2347889491960501,0.043744190324033205,1.2601867872337567,0.09098618687687285
score,prepay,score_b,400,0.7497626292330277,0.4217503498307087,1.3328833050644013,0.32654532419062976
score,prepay,score_b,420,0.7413895007868936,0.5886510101238085,0.9337593623791318,0.011014135090430009
score,prepay,score_b,440,0.6248018507305034,0.5385666922047319,0.7248449603858224,5.417232717498868e-10
score,prepay,score_b,460,0.7403711510424019,0.6578292282400956,0.8332701220380963,6.219485061586424e-07
score,prepay,score_b,480,0.6749199017640095,0.6028285392304426,0.7556325624175707,9.000032709390782e-12
score,prepay,score_b,500,0.7158803298256929,0.6502901911837453,0.7880860784605249,9.277349735245084e-12
score,prepay,score_b,520,0.7137577123294078,0.6368439840622434,0.7999605628054693,6.766906558257137e-09
score,prepay,score_b,540,0.7489194384408868,0.6673730038088923,0.8404300474749589,8.854755762105026e-07
score,prepay,score_b,560,0.8017977057813223,0.7124240557460066,0.9023832867673282,0.0002488705877037007
score,prepay,score_b,580,0.8370941771163064,0.7455185646761066,0.939918460201537,0.0026281070512467076
score,prepay,score_b,600,0.9212895283595053,0.8163524481450384,1.0397156240463445,0.18394037733403001
score,prepay,score_b,620,0.993900738816266,0.884682420145714,1.1166025865607396,0.9179571699805812
score,prepay,score_b,640,0.988890714913309,0.9367667419162503,1.0439149921584032,0.6859514086193523
score,prepay,score_b,680,1.0232608120258562,0.956799618426413,1.0943385315619707,0.5021567067005126
score,prepay,score_b,700,1.0122447289609968,0.9395278976579315,1.0905896396089543,0.748987844065027
score,prepay,score_b,720,1.0581386250546552,0.9671283128830218,1.1577133405337325,0.21811636874942908
score,prepay,score_b,740,1.0658697618211326,0.9695199937739306,1.171794657624714,0.18696009645382505
score,prepay,score_b,760,1.0939846621353992,1.0080666228775343,1.18722554028346,0.031359076211124465
score,prepay,score_b,780,1.176915813480939,1.0955780703895748,1.2642922211184493,8.26607491928601e-06
score,prepay,score_b,800,1.2490616216505022,1.1763731678318619,1.3262415170142459,3.595743144267937e-13
score,prepay,score_b,820,1.269080805416253,1.1802874034384188,1.3645541636588314,1.2033684589573184e-10
score,prepay,score_b,840,1.270357564136871,1.172219511981587,1.376711720172351,5.425173844609475e-09
score,prepay,score_b,860,1.2845740720439378,1.1427233796450205,1.4440332419558495,2.7329008040143674e-05
score,prepay,score_b,880,1.2440875088077152,1.0573330736635747,1.4638279725881875,0.008494662037379688
score,prepay,score_b,900,1.244644073990628,1.0964212673656237,1.412904799486525,0.0007174127131541894
score,prepay,score_b,none,1.3191007831681998,1.1233099982335335,1.5490175275669633,0.00072903947187161
score,prepay,lender,americredit,0.9573047593929319,0.902534027948899,1.0153992802233127,0.14662010692608327
score,prepay,lender,capone,1.1274050925630241,0.9861463649046821,1.2888981676263607,0.07913687177031344
score,prepay,lender,carmax,1.1450402505611281,1.0155330024767357,1.291063089242269,0.026990173359506306
score,prepay,lender,exeter,0.7959945280102153,0.6694618357960802,0.9464427316738095,0.009790103459389955
score,prepay,lender,honda,0.94791215422466,0.8660835410150438,1.0374720330948168,0.245508546584839
score,prepay,lender,toyota,1.1035371148675501,0.9836805641488982,1.237997586080049,0.09305993511200364
terms,chargeoff,age_b,0-3,0.007361506819006692,0.003111084998734051,0.01741893348087034,5.307370122065632e-29
terms,chargeoff,age_b,10-12,1.3903670250558915,1.3054272356430137,1.4808335628224991,1.221373537367058e-24
terms,chargeoff,age_b,13-18,1.7105295759162977,1.5114798103474336,1.9357925987855769,1.8250394306919785e-17
terms,chargeoff,age_b,19-24,2.0316401674044626,1.7415515600780218,2.37004856154033,1.9233584608654753e-19
terms,chargeoff,age_b,25-36,2.6250332231039226,2.349073325153115,2.933411804823172,4.934305467394002e-65
terms,chargeoff,age_b,37-48,3.1669946360871473,2.7005852785882394,3.713956046686287,1.1827141234279418e-45
terms,chargeoff,age_b,4-6,0.21780160442868093,0.12924649902724425,0.36703151921900884,1.0383945750734295e-08
terms,chargeoff,age_b,49-60,2.3057928592176515,1.117743929836629,4.756617833206399,0.023743506630774597
terms,chargeoff,age_b,61+,5.067562067496398,1.8934933321041671,13.562332051832978,0.0012334354225712744
terms,chargeoff,score_b,360,1.5431709008798307e-10,3.6693915227244185e-11,6.489840112657601e-10,1.1474978150318282e-208
terms,chargeoff,score_b,380,1.7718508185487636,0.8671638415775946,3.6203715753189676,0.11664284012451451
terms,chargeoff,score_b,400,1.7973135786070888,0.9234788135218632,3.498007807592159,0.08440982396149713
terms,chargeoff,score_b,420,1.557515854148902,1.4253160811933208,1.701977314319066,1.2311169300711655e-22
terms,chargeoff,score_b,440,1.8487349220173974,1.6438957438333732,2.0790982790165957,1.1110917176080878e-24
terms,chargeoff,score_b,460,1.5830096071519442,1.3934581534457469,1.7983456554749842,1.6802670579881207e-12
terms,chargeoff,score_b,480,1.5565865305839484,1.4019224745813714,1.728313563072662,1.158278473282984e-16
terms,chargeoff,score_b,500,1.4636429471087922,1.3423552176404556,1.5958895592381894,6.081505521326478e-18
terms,chargeoff,score_b,520,1.406318619649528,1.303140368379106,1.5176661762331327,1.7783878068475917e-18
terms,chargeoff,score_b,540,1.3380723186877954,1.2291377626911448,1.4566613966187538,1.7942621058357055e-11
terms,chargeoff,score_b,560,1.2541531015058272,1.1671444793838954,1.3476480673986286,6.692691553221723e-10
terms,chargeoff,score_b,580,1.184500908048714,1.1109690298634631,1.2628996519737916,2.2405493701168065e-07
terms,chargeoff,score_b,600,1.0958336870569119,0.9933597956282707,1.2088786711256445,0.06770567257234145
terms,chargeoff,score_b,620,0.9568901533247081,0.8445777224823717,1.0841379557568127,0.4890800508661062
