lender,score_b,at_risk,d_chargeoff,d_competing,aj_chargeoff,aj_lo95,aj_hi95,km_chargeoff,n_loans,entry_age_median
santander,720,9,0,0,0.07024350685278587,0.05318652978230998,0.08673236021951969,0.08930759233691477,1409,3.0
santander,740,6,0,0,0.08563983117295776,0.06089684010623464,0.10952999984066336,0.1023114487332214,910,3.0
santander,760,8,0,1,0.04169920503362661,0.022191831083465105,0.06119368082899949,0.05047893675633852,537,3.0
santander,780,2,0,0,0.05082600307768362,0.024201264190111375,0.08569211584495211,0.07076362979441386,411,3.0
santander,800,4,0,0,0.04255597096857277,0.005617122168258687,0.10640062606177453,0.05561375712914052,323,3.0
santander,820,0,0,0,0.027533534873049836,0.006926175298030781,0.05529787967833947,0.0370011069429923,260,3.0
santander,840,2,0,0,0.019903661634928814,0.0,0.05635673010952874,0.02645502645502651,194,3.0
santander,860,1,0,0,0.03220656995405445,0.0,0.08358600196613512,0.039246467817896424,117,3.0
santander,880,0,0,0,0.0,0.0,0.0,0.0,37,3.0
santander,none,96,1,3,0.12557400444036648,0.1151992146859173,0.14227191081292662,0.17507657187689518,23969,3.0
toyota,620,6,0,0,0.0,0.0,0.0,0.0,12,6.0
toyota,640,12,0,0,0.038461538461538464,0.0,0.11538461538461539,0.05263157894736836,26,6.0
toyota,660,26,0,0,0.0,0.0,0.0,0.0,40,6.0
toyota,680,70,0,1,0.027777777777777787,0.0,0.07407407407407407,0.03746492820597458,108,6.0
toyota,700,118,0,6,0.0,0.0,0.0,0.0,153,6.0
toyota,720,154,1,6,0.004651162790697674,0.0,0.01860465116279069,0.00649350649350644,215,6.0
toyota,740,190,0,0,0.011235955056179773,0.0,0.022565543071161077,0.013393854001319871,267,6.0
toyota,760,196,0,4,0.0,0.0,0.0,0.0,288,6.0
toyota,780,224,0,2,0.003048780487804878,0.0,0.009146341463414634,0.0034602076124568004,328,6.0
toyota,800,266,0,2,0.0025445292620865146,0.0,0.007697201017811722,0.0030030030030030463,393,6.0
toyota,820,298,0,7,0.0,0.0,0.0,0.0,420,6.0
toyota,840,261,0,5,0.0,0.0,0.0,0.0,384,6.0
toyota,860,203,0,2,0.0,0.0,0.0,0.0,284,6.0
toyota,880,74,0,3,0.0,0.0,0.0,0.0,103,6.0
toyota,900,5,0,2,0.0,0.0,0.0,0.0,7,6.0
