lender,score_b,age,at_risk,d_chargeoff,d_competing,aj_chargeoff,aj_lo95,aj_hi95,km_chargeoff,n_loans,entry_age_median
americredit,420,30,14,0,0,0.25263925639459933,0.06092023172905526,0.4279388410687561,0.2733564013840831,33,16.0
americredit,420,31,13,0,0,0.25263925639459933,0.06092023172905526,0.4279388410687561,0.2733564013840831,33,16.0
americredit,420,32,11,0,0,0.25263925639459933,0.06092023172905526,0.4279388410687561,0.2733564013840831,33,16.0
americredit,420,33,10,0,0,0.25263925639459933,0.06092023172905526,0.4279388410687561,0.2733564013840831,33,16.0
americredit,420,34,10,0,0,0.25263925639459933,0.06092023172905526,0.4279388410687561,0.2733564013840831,33,16.0
americredit,420,35,9,0,0,0.25263925639459933,0.06092023172905526,0.4279388410687561,0.2733564013840831,33,16.0
americredit,420,36,9,0,0,0.25263925639459933,0.06092023172905526,0.4279388410687561,0.2733564013840831,33,16.0
americredit,440,0,0,0,0,0.0,0.0,0.0,0.0,185,21.0
americredit,440,1,0,0,0,0.0,0.0,0.0,0.0,185,21.0
americredit,440,2,1,0,0,0.0,0.0,0.0,0.0,185,21.0
americredit,440,3,22,0,0,0.0,0.0,0.0,0.0,185,21.0
americredit,440,4,35,0,0,0.0,0.0,0.0,0.0,185,21.0
americredit,440,5,43,0,0,0.0,0.0,0.0,0.0,185,21.0
americredit,440,6,55,0,0,0.0,0.0,0.0,0.0,185,21.0
americredit,440,7,63,0,0,0.0,0.0,0.0,0.0,185,21.0
americredit,440,8,71,0,1,0.0,0.0,0.0,0.0,185,21.0
americredit,440,9,76,0,0,0.0,0.0,0.0,0.0,185,21.0
americredit,440,10,81,0,0,0.0,0.0,0.0,0.0,185,21.0
americredit,440,11,83,1,1,0.011878499915153573,0.0,0.04046536796536798,0.012048192771084376,185,21.0
americredit,440,12,82,0,1,0.011878499915153573,0.0,0.04046536796536798,0.012048192771084376,185,21.0
americredit,440,13,83,0,0,0.011878499915153573,0.0,0.04046536796536798,0.012048192771084376,185,21.0
americredit,440,14,83,0,0,0.011878499915153573,0.0,0.04046536796536798,0.012048192771084376,185,21.0
americredit,440,15,84,0,2,0.011878499915153573,0.0,0.04046536796536798,0.012048192771084376,185,21.0
americredit,440,16,84,1,1,0.02292368669850428,0.0,0.06188766819444761,0.023809523809523836,185,21.0
americredit,440,17,83,0,2,0.02292368669850428,0.0,0.06188766819444761,0.023809523809523836,185,21.0
americredit,440,18,81,0,0,0.02292368669850428,0.0,0.06188766819444761,0.023809523809523836,185,21.0
americredit,440,19,82,0,0,0.02292368669850428,0.0,0.06188766819444761,0.023809523809523836,185,21.0
americredit,440,20,82,2,2,0.044481762106971925,0.010959561781683757,0.09544834591956529,0.04761904761904767,185,21.0
americredit,440,21,80,1,1,0.0549913238685999,0.011739332596349388,0.11143177366584839,0.059523809523809534,185,21.0
americredit,440,22,79,1,0,0.0653678532028655,0.022659754117264688,0.12408635601844835,0.0714285714285714,185,21.0
americredit,440,23,78,2,1,0.0861209118713967,0.03628221759157889,0.15217296106015377,0.09523809523809523,185,21.0
americredit,440,24,80,0,1,0.0861209118713967,0.03628221759157889,0.15217296106015377,0.09523809523809523,185,21.0
americredit,440,25,81,2,1,0.10509650949655833,0.04918029290304475,0.1750352821618249,0.11757789535567309,185,21.0
americredit,440,26,81,0,0,0.10509650949655833,0.04918029290304475,0.1750352821618249,0.11757789535567309,185,21.0
americredit,440,27,81,0,0,0.10509650949655833,0.04918029290304475,0.1750352821618249,0.11757789535567309,185,21.0
americredit,440,28,81,2,1,0.12336930720967693,0.06209162988562497,0.199779524032444,0.13936609547034784,185,21.0
americredit,440,29,78,0,0,0.12336930720967693,0.06209162988562497,0.199779524032444,0.13936609547034784,185,21.0
americredit,440,30,68,1,0,0.13384929413337732,0.07314067793463527,0.2074619372181279,0.1520224764193132,185,21.0
americredit,440,31,57,2,2,0.1584864563750589,0.08595503865669755,0.2346456653366502,0.1817760737379338,185,21.0
americredit,440,32,48,2,0,0.18568998968358233,0.11476991649792215,0.26813800168697377,0.2158687373321866,185,21.0
americredit,440,33,38,1,0,0.20215528615979386,0.12139582418241518,0.2948845518782481,0.23650377056028693,185,21.0
americredit,440,34,33,0,1,0.20215528615979386,0.12139582418241518,0.2948845518782481,0.23650377056028693,185,21.0
americredit,440,35,29,0,0,0.20215528615979386,0.12139582418241518,0.2948845518782481,0.23650377056028693,185,21.0
americredit,440,36,26,1,0,0.22487662768407646,0.1386465406217263,0.32731611740528316,0.265869010154122,185,21.0
americredit,460,0,0,0,0,0.0,0.0,0.0,0.0,734,9.0
americredit,460,1,0,0,0,0.0,0.0,0.0,0.0,734,9.0
americredit,460,2,7,0,0,0.0,0.0,0.0,0.0,734,9.0
americredit,460,3,85,0,0,0.0,0.0,0.0,0.0,734,9.0
americredit,460,4,165,0,1,0.0,0.0,0.0,0.0,734,9.0
americredit,460,5,217,0,0,0.0,0.0,0.0,0.0,734,9.0
americredit,460,6,260,0,3,0.0,0.0,0.0,0.0,734,9.0
americredit,460,7,302,2,5,0.006506429552787169,0.0,0.018377141516321128,0.0066225165562914245,734,9.0
americredit,460,8,334,3,1,0.01512647469383005,0.003155743091919005,0.03343154933389653,0.015545068802791828,734,9.0
americredit,460,9,367,4,1,0.025461133718513614,0.010611861674418119,0.04588918592010126,0.02627482282129001,734,9.0
americredit,460,10,404,3,2,0.032406331553171006,0.016221773533828452,0.05022286440257762,0.033505455325092304,734,9.0
