lender,score_b,age,at_risk,d_chargeoff,d_competing,aj_chargeoff,aj_lo95,aj_hi95,km_chargeoff,n_loans,entry_age_median
americredit,440,32,8,0,0,0.14545454545454545,0.07227272727272728,0.23636363636363633,0.1643890803074477,55,4.0
americredit,440,33,0,0,0,0.14545454545454545,0.07227272727272728,0.23636363636363633,0.1643890803074477,55,4.0
americredit,440,34,0,0,0,0.14545454545454545,0.07227272727272728,0.23636363636363633,0.1643890803074477,55,4.0
americredit,440,35,0,0,0,0.14545454545454545,0.07227272727272728,0.23636363636363633,0.1643890803074477,55,4.0
americredit,440,36,0,0,0,0.14545454545454545,0.07227272727272728,0.23636363636363633,0.1643890803074477,55,4.0
americredit,460,0,0,0,0,0.0,0.0,0.0,0.0,261,4.0
americredit,460,1,0,0,0,0.0,0.0,0.0,0.0,261,4.0
americredit,460,2,7,0,0,0.0,0.0,0.0,0.0,261,4.0
americredit,460,3,85,0,0,0.0,0.0,0.0,0.0,261,4.0
americredit,460,4,165,0,1,0.0,0.0,0.0,0.0,261,4.0
americredit,460,5,217,0,0,0.0,0.0,0.0,0.0,261,4.0
americredit,460,6,260,0,3,0.0,0.0,0.0,0.0,261,4.0
americredit,460,7,257,2,4,0.007645687645687646,0.0,0.01925057718963094,0.0077821011673151474,261,4.0
americredit,460,8,251,3,1,0.019114219114219115,0.0038241726664140457,0.034482758620689655,0.019641279241012555,261,4.0
americredit,460,9,247,3,1,0.030582750582750583,0.01146455208408993,0.05361170858686389,0.031548470181405164,261,4.0
americredit,460,10,243,2,2,0.03822843822843823,0.015324662730669403,0.06117962587333784,0.03951926466550881,261,4.0
americredit,460,11,239,2,1,0.04587412587412587,0.022933449439760802,0.06896551724137932,0.0475567603586845,261,4.0
americredit,460,12,236,2,1,0.05351981351981352,0.026761684563565178,0.07671978324518075,0.05562831323700068,261,4.0
americredit,460,13,233,2,3,0.061165501165501165,0.034138745048556095,0.08770620122395516,0.06373450797316371,261,4.0
