lender,age,at_risk,d_chargeoff,d_competing,aj_chargeoff,aj_lo95,aj_hi95,km_chargeoff,n_loans,entry_age_median
carmax,15,55022,38,912,0.003807348930842122,0.003334558369340109,0.004281290198520538,0.00434109076397593,135307,4.0
carmax,16,54206,57,868,0.004659376173741861,0.0042188588389500785,0.0051585768883025225,0.005388070025062364,135307,4.0
carmax,17,53244,53,941,0.0054521625669484665,0.004996374251342097,0.005977718765324001,0.006378123970834149,135307,4.0
carmax,18,52309,53,903,0.00624405476609288,0.0057612299673020576,0.006891362670262793,0.007384871555944694,135307,4.0
carmax,19,51253,42,926,0.006872816371694926,0.006356836941239947,0.007607298596687868,0.008198284144371737,135307,4.0
carmax,20,50349,26,881,0.007261554981333067,0.006716106515345649,0.008011215540094607,0.008710446145846373,135307,4.0
carmax,21,45239,30,803,0.00775177226333436,0.007100703633744335,0.008519088360288803,0.009367814492088011,135307,4.0
carmax,22,36321,31,634,0.00837108913911883,0.007686462524940242,0.009101648448804008,0.01021331978518969,135307,4.0
carmax,23,27881,28,495,0.009086463756175871,0.008315519000044992,0.009864113839513513,0.011207331013123212,135307,4.0
carmax,24,19918,13,356,0.009542666049963984,0.008686552902374639,0.010360145607122942,0.01185269222894958,135307,4.0
carmax,25,15472,8,291,0.009897383202189894,0.009040356348303105,0.010760491527845003,0.012363626721075271,135307,4.0
carmax,26,11264,6,208,0.010255745463646108,0.00941632231745293,0.01111896298893914,0.012889711436955387,135307,4.0
carmax,27,8059,4,152,0.010583321506090676,0.009663802496819984,0.0115442259780036,0.013379653260289781,135307,4.0
carmax,28,6164,4,147,0.011003313956356642,0.010014556951701671,0.011958257519407716,0.014019900078420688,135307,4.0
carmax,29,4355,4,105,0.01158320249905452,0.0104784391753657,0.012600195104802377,0.014925507518073089,135307,4.0
carmax,30,3309,1,67,0.011769225976864674,0.010544234077906224,0.012826889045731893,0.015223203043150724,135307,4.0
carmax,31,2706,2,68,0.012214829887864457,0.010773260175202557,0.013367389151094651,0.015951049899733727,135307,4.0
carmax,32,2157,3,34,0.013031667098848761,0.01157352003763359,0.01441638216450278,0.017319685435339127,135307,4.0
carmax,33,1798,2,31,0.013673748999956187,0.011933447702801721,0.015314306844547251,0.01841276698657901,135307,4.0
carmax,34,1489,2,30,0.014434846753787351,0.012515039864269434,0.016606787061662867,0.019731218609162493,135307,4.0
carmax,35,1230,3,26,0.015787187518826386,0.013115556652993465,0.018091341260541974,0.02212211807596942,135307,4.0
carmax,36,987,2,30,0.016884223154633126,0.01417296794187628,0.02010286246744976,0.02410363354086109,135307,4.0
exeter,0,1455,0,29,0.0,0.0,0.0,0.0,120753,3.0
exeter,1,14231,0,119,0.0,0.0,0.0,0.0,120753,3.0
exeter,2,39315,4,275,9.888066822150431e-05,2.3853270425738694e-05,0.00019903486881204727,0.00010174233753024176,120753,3.0
exeter,3,75374,7,503,0.00018849824309102994,7.599467746389628e-05,0.0003021908101474158,0.00019460310919738877,120753,3.0
exeter,4,98712,38,711,0.0005574603967027233,0.0003961111773713542,0.0007131250011393045,0.0005794864575425773,120753,3.0
exeter,5,107705,235,864,0.0026328149279031135,0.0023225103629413214,0.0029518795697148054,0.0027601077906513893,120753,3.0
exeter,6,108361,500,1002,0.006976947633910217,0.006470367216632722,0.007443651029804465,0.007361578302225391,120753,3.0
exeter,7,107319,708,1089,0.013101873345042427,0.012491217973514105,0.013828129570520886,0.013910167112799687,120753,3.0
exeter,8,105995,844,1156,0.020370755855373485,0.01966065419825357,0.021198488088158066,0.021762045210415693,120753,3.0
exeter,9,104199,974,1146,0.028742830035305412,0.027813806288096144,0.029692846621543645,0.030906123061115398,120753,3.0
exeter,10,98559,1040,1110,0.03800147793825844,0.037145754264358365,0.0390279875742982,0.04113205506140394,120753,3.0
exeter,11,86034,953,961,0.04750872090826758,0.04641037052476747,0.04862073624589331,0.05175345069018422,120753,3.0
exeter,12,66994,814,798,0.05770518167118902,0.056371055709594095,0.059060918835961755,0.0632749703955039,120753,3.0
exeter,13,56978,704,714,0.06782444056164867,0.06627666669221093,0.06933566339360576,0.0748488132970021,120753,3.0
exeter,14,53085,650,561,0.07760311122838758,0.07617501712833084,0.0793500796542381,0.08617683950698518,120753,3.0
exeter,15,51700,708,569,0.08829018766385316,0.08656972049583504,0.09013764534658555,0.0986910909118025,120753,3.0
exeter,16,50285,678,557,0.09855250827146088,0.09664768895288618,0.10084273886648217,0.1108435705849018,120753,3.0
exeter,17,48864,618,551,0.10794226533200482,0.1060956742321048,0.1104046286531358,0.12208904114356522,120753,3.0
exeter,18,47643,689,591,0.11842220676157132,0.11634175773729225,0.12088894220388531,0.13478514866517566,120753,3.0
exeter,19,45281,652,566,0.1285763374785319,0.12616709121080635,0.1312486551794685,0.14724335592805204,120753,3.0
exeter,20,38012,585,429,0.13913732093056652,0.13655512716954113,0.14205767229199728,0.16036717568976122,120753,3.0
exeter,21,27978,482,308,0.15064418854239203,0.14811546116574067,0.1533531191450304,0.17483222041481428,120753,3.0
exeter,22,16051,278,195,0.16188583804901224,0.1590753842664677,0.16496658263600603,0.18912395567895246,120753,3.0
exeter,23,6309,141,46,0.17596431031142615,0.17270150784368551,0.17980842507082442,0.20724624482925647,120753,3.0
exeter,24,1676,43,9,0.19164713123422195,0.18647662789074199,0.19720841480856371,0.22758539248578513,120753,3.0
exeter,25,710,18,4,0.20666318826714586,0.19859699975858466,0.2152294597172397,0.24716773464811737,120753,3.0
exeter,26,584,8,2,0.21452547688103601,0.20494303448312798,0.2243302362883485,0.25748050540636236,120753,3.0
exeter,27,483,8,5,0.22386906624826777,0.21245145529304235,0.2352336587934359,0.2697789649441452,120753,3.0
exeter,28,418,10,7,0.23700150345699664,0.2217525844813393,0.2527455379043725,0.2872483676966776,120753,3.0
exeter,29,342,5,1,0.24470049076796194,0.2306259182295463,0.2624376132039176,0.2976687131981881,120753,3.0
exeter,30,295,7,3,0.2569771132461927,0.24171995445672262,0.2768328901645066,0.314334201359587,120753,3.0
exeter,31,266,5,4,0.2663724875917775,0.24936608351575207,0.29001823796516746,0.3272226562212489,120753,3.0
exeter,32,251,6,6,0.27791644555264744,0.26119692800250444,0.30306460810877883,0.34330498316416724,120753,3.0
exeter,33,223,1,6,0.279978482886465,0.26212240578921236,0.3050128850370882,0.34624980386746695,120753,3.0
exeter,34,205,4,1,0.2886692158446034,0.2722641052813549,0.3118385853926569,0.35900590525541887,120753,3.0
exeter,35,187,1,2,0.29099294123448,0.27279920630233073,0.31422898364858337,0.3624336811631439,120753,3.0
exeter,36,171,1,2,0.2934933241101367,0.2759194964756247,0.3174708773466618,0.36616213916803775,120753,3.0
honda,0,0,0,0,0.0,0.0,0.0,0.0,104073,10.0
honda,1,0,0,0,0.0,0.0,0.0,0.0,104073,10.0
honda,2,0,0,0,0.0,0.0,0.0,0.0,104073,10.0
honda,3,445,0,25,0.0,0.0,0.0,0.0,104073,10.0
honda,4,5338,0,89,0.0,0.0,0.0,0.0,104073,10.0
honda,5,14215,0,209,0.0,0.0,0.0,0.0,104073,10.0
honda,6,24267,0,294,0.0,0.0,0.0,0.0,104073,10.0
honda,7,33518,4,447,0.00010780594992111933,2.6691098135362774e-05,0.00019444732999850662,0.00011933886270065752,104073,10.0
honda,8,43227,4,522,0.00019027337412454897,7.546584474415391e-05,0.00030226480354891464,0.00021186257807637165,104073,10.0
honda,9,48537,6,613,0.0002991009123194513,0.00014897905670386162,0.00043598897163099485,0.0003354534226800432,104073,10.0
honda,10,52649,13,688,0.0005137057281054531,0.0002963876004965592,0.0006865970408820561,0.0005822888631538126,104073,10.0
honda,11,55005,8,751,0.0006384305122350215,0.0004309813200894237,0.0008165210944175127,0.0007276454978069058,104073,10.0
honda,12,56761,14,783,0.0008470277201737821,0.0006180232608688921,0.0010710000441442264,0.0009741142521105806,104073,10.0
honda,13,59097,16,873,0.0010727860331668961,0.0007814885500998015,0.0013237282170281708,0.0012445918427153035,104073,10.0
honda,14,60914,20,931,0.0013424477669781542,0.001037904651458126,0.001609017560994997,0.0015725149500985802,104073,10.0
honda,15,61627,23,859,0.001644185406749734,0.0012968733721569724,0.001917851227018548,0.0019451411067530344,104073,10.0
honda,16,62645,20,897,0.001898608056503864,0.001549659780351225,0.0022247290431949814,0.0022637794207105433,104073,10.0
honda,17,64010,30,930,0.0022666365205881384,0.0019183331516832427,0.0026168148799508603,0.0027313952091401195,104073,10.0
honda,18,65139,34,985,0.0026703591334915496,0.0022993813036187053,0.003042866230515452,0.0032519302582334486,104073,10.0
honda,19,65737,26,1024,0.00297149406709217,0.00257106426718934,0.0034064564235635627,0.0036461595326646723,104073,10.0
honda,20,66257,32,1123,0.0033333394305396003,0.0029320066584305315,0.0037603255956933424,0.004127366392241094,104073,10.0
honda,21,66421,26,1125,0.0036215004969427428,0.0031793454034365945,0.004099428176950818,0.004517193231249883,104073,10.0
honda,22,66212,21,1166,0.003850934697161385,0.003413663219247904,0.004305639334034988,0.004832923596472916,104073,10.0
honda,23,61975,27,1137,0.004160438828603683,0.0036808308362715897,0.00470300405898245,0.005266477627338451,104073,10.0
honda,24,54851,23,1224,0.004452738359220407,0.003953312793703558,0.005034046487811774,0.0056835870877780525,104073,10.0
honda,25,46941,18,952,0.004713965109827061,0.004115820068892482,0.005285835479780604,0.006064867747167857,104073,10.0
honda,26,39909,22,733,0.00508173903014446,0.0045077876716768765,0.0057374739412237195,0.006612778567022137,104073,10.0
honda,27,32596,15,554,0.005382943446109624,0.004868347383383767,0.006075592487258946,0.00706991466720297,104073,10.0
honda,28,28494,13,495,0.0056763543625400125,0.00512619719648603,0.006352620169914946,0.007522925515428103,104073,10.0
honda,29,25156,6,479,0.00582700931393049,0.005304991613797285,0.006481578656006078,0.007759642896844388,104073,10.0
honda,30,22993,14,455,0.006204191617824158,0.005639941300434989,0.006805037107392396,0.008363799161770324,104073,10.0
honda,31,21202,14,392,0.006604892222149267,0.005894787950445987,0.007261738164833938,0.009018591483802907,104073,10.0
honda,32,19100,9,396,0.006885358669074864,0.00612324505343491,0.007615002122615175,0.009485546074203266,104073,10.0
honda,33,17464,8,382,0.00715223504843426,0.006380316935621587,0.00794277467038587,0.009939286089744148,104073,10.0
honda,34,16644,8,339,0.007426006215292126,0.006608303265826332,0.008221526522839598,0.010415162424236013,104073,10.0
honda,35,15317,8,371,0.0077172935892088615,0.00691314431489384,0.008494015772524312,0.01093201812056066,104073,10.0
honda,36,13728,4,508,0.00787577446011388,0.006988456108796887,0.008658259252640764,0.011220208091970663,104073,10.0
santander,0,0,0,0,0.0,0.0,0.0,0.0,185409,3.0
santander,1,15476,0,210,0.0,0.0,0.0,0.0,185409,3.0
santander,2,57628,0,479,0.0,0.0,0.0,0.0,185409,3.0
santander,3,101168,3,757,2.900812880843135e-05,0.0,6.751422538932265e-05,2.9653645421512387e-05,185409,3.0
santander,4,124005,28,1130,0.0002482308739319218,0.00016219999242000698,0.000331612148572712,0.00025544429658830303,185409,3.0
santander,5,126058,77,1819,0.0008357370660657803,0.0006686738312461855,0.0009703741147674247,0.0008661181989917388,185409,3.0
santander,6,126550,140,2331,0.0018837733266559046,0.001643002517733349,0.0021037417881024753,0.0019714421298659968,185409,3.0
santander,7,116413,577,1942,0.0064876204061775035,0.006068452491400036,0.006915644946387417,0.006918161808003975,185409,3.0
santander,8,99225,735,1697,0.013219125114759993,0.012598463600351929,0.013830500505042576,0.014274323572389114,185409,3.0
