lender,var,cutoff,left,right,jump,se,t,n_left,n_right,stable_across_bandwidths,flag,known_selection
americredit,orig_amount,605,28731.039325745376,27890.93529304422,-840.1040327011578,164.6334430347849,-5.102875923718942,11693,14583,True,False,False
americredit,orig_amount,610,28601.24791715651,28614.09934740763,12.8514302511212,163.49757216625682,0.07860318707395168,11921,16082,False,False,False
americredit,orig_amount,615,29085.42330224093,29256.295283996107,170.8719817551755,164.36851398222407,1.0395663841899476,11791,17577,False,False,False
americredit,orig_amount,620,29099.454329673426,30550.608321810098,1451.1539921366711,171.78522092497516,8.447490327299127,11745,15847,True,True,False
americredit,orig_amount,625,31179.73480447798,30556.929324955596,-622.8054795223834,179.43627772109332,-3.4709005750244146,13467,12644,False,False,False
americredit,orig_amount,630,31153.79465805503,31369.98019231575,216.18553426071958,192.4933572887539,1.1230804912214487,14583,9887,False,False,False
americredit,orig_amount,635,31065.613932584245,31970.984982439277,905.3710498550317,222.8997029853059,4.061786703747721,16082,6432,True,False,False
americredit,orig_amount,640,31908.806263406204,30111.12205793988,-1797.6842054663248,281.51177255546577,-6.385822479634063,17577,3265,True,True,True
americredit,orig_amount,645,31667.577967567402,30901.150017593314,-766.4279499740878,298.3083811373693,-2.5692471228998164,15847,3045,True,False,False
americredit,orig_amount,650,31385.55040680241,31877.705516680286,492.1551098778764,326.14116191604035,1.5090248252827823,12644,2740,False,False,False
americredit,orig_amount,655,31210.67836457629,32951.52559668946,1740.8472321131703,356.2992210717234,4.885913662333648,9887,2410,True,True,False
americredit,orig_amount,660,32394.22207525899,32420.39440254539,26.172327286400105,397.38254690746845,0.06586179360437387,6432,2116,False,False,False
americredit,orig_amount,665,33068.18505760152,31974.558568731874,-1093.626488869646,477.63175303452806,-2.2896854782403624,3265,1692,False,False,False
americredit,orig_amount,670,32618.916383116568,32345.254681949416,-273.6617011671515,515.481133207649,-0.5308859695101849,3045,1391,False,False,False
americredit,orig_amount,675,32506.440731246807,33184.13596073149,677.6952294846815,562.7135107427165,1.2043343842770053,2740,1152,False,False,False
americredit,orig_amount,680,33973.0186452411,31244.787091930983,-2728.2315533101173,608.1535195689193,-4.486090214924653,2410,911,True,True,False
capone,orig_apr,710,0.0824759250457841,0.08191164971677788,-0.000564275329006228,0.0004204265004896674,-1.3421497654144565,1423,5539,False,False,False
capone,orig_apr,715,0.08196807188687753,0.08083419253685106,-0.0011338793500264704,0.0003353975544069104,-3.3807024980594447,2289,6112,True,False,False
capone,orig_apr,720,0.08023812477196111,0.08091112170025873,0.0006729969282976145,0.0002886003016812439,2.3319342508551246,3243,7207,True,False,False
capone,orig_apr,725,0.07998603095781873,0.08076565682746516,0.0007796258696464303,0.0002545246384060723,3.063066406964515,4326,8280,False,False,False
capone,orig_apr,730,0.07933414850164812,0.08043731707647829,0.0011031685748301712,0.00023561629935516264,4.682055434404731,4961,9317,True,False,False
capone,orig_apr,735,0.07977111935104036,0.07868075860266543,-0.00109036074837493,0.00022253585790645776,-4.899708112807868,5539,10392,True,False,False
capone,orig_apr,740,0.07881675557046659,0.07709837414830827,-0.0017183814221583271,0.00021146686752121212,-8.12600783423416,6112,11475,True,False,False
capone,orig_apr,745,0.07684327181394554,0.07643760280476655,-0.0004056690091789883,0.00019835536924289835,-2.0451627335694735,7207,11949,False,False,False
capone,orig_apr,750,0.07542706983104479,0.07651610524292153,0.0010890354118767431,0.00018825156851870928,5.7850004674383895,8280,12509,True,False,False
capone,orig_apr,755,0.07546401437099888,0.07612964154533228,0.0006656271743333969,0.00018038374420124766,3.6900618582946176,9317,13064,False,False,False
capone,orig_apr,760,0.07538231067249684,0.07556460603589876,0.00018229536340191865,0.00017284007652649036,1.0547054078281384,10392,13702,True,False,False
capone,orig_apr,765,0.07508584820133693,0.0749639853583178,-0.00012186284301912709,0.00016569386346016392,-0.7354698627594336,11475,14321,False,False,False
capone,orig_apr,770,0.07458211705721182,0.07454818539709027,-3.3931660121555574e-05,0.00016144647821428573,-0.21017281080927971,11949,15017,False,False,False
capone,orig_apr,775,0.07382603333046399,0.07442641954057122,0.0006003862101072316,0.00015727639622867742,3.8173955183604247,12509,15555,True,False,False
capone,orig_apr,780,0.0739324685152727,0.07376926054345255,-0.00016320797182015068,0.00015361329570679738,-1.0624599327109465,13064,16046,False,False,False
capone,orig_apr,785,0.07358761692187056,0.07338481656960405,-0.0002028003522665106,0.00014980243215265048,-1.3537854449509512,13702,16523,False,False,False
capone,orig_apr,790,0.0727612575425372,0.07329039008243002,0.0005291325398928126,0.00014624724403916866,3.618068452292323,14321,16983,True,False,False
capone,orig_apr,795,0.07270084914992007,0.07252733213946766,-0.00017351701045241474,0.0001428871870724788,-1.2143636809394192,15017,17270,False,False,False
capone,orig_apr,800,0.07230075769339009,0.07169871955484121,-0.0006020381385488799,0.00013971739673985197,-4.308970483252348,15555,17549,True,False,False
capone,orig_apr,805,0.071382528362919,0.0715903332185042,0.00020780485558520578,0.00013760417038444342,1.5101639361992678,16046,17472,False,False,False
capone,orig_apr,810,0.07098023401781388,0.07141716356423954,0.0004369295464256573,0.00013660902695791807,3.198394397174441,16523,16925,True,False,False
capone,orig_apr,815,0.07097548908452911,0.07078026727191987,-0.0001952218126092392,0.0001370964955545334,-1.423973762564814,16983,15783,False,False,False
